Epoch,Inner_Test_AgChangeRatio,Inner_Train_AgChangeRatio,Loss_hdm,Loss_her,Loss_q,TestAgChangeRatio,TestBestSuccessRate,TestFinalDist,TestSuccessRate,Time,TimePerSeqRollout,TimePerTrainIter,TotalTimeSteps,TrainAgChangeRatio,TrainSuccess,env_steps,exp_avg_reward,exp_reward_avg,hdm_gamma,hdm_gamma_auto,hdm_gamma_zero_point,hdm_q_o1,hdm_q_o2,hdm_q_to_minimize,hdm_weights,log_hdm_gamma,offset,opt_steps,q_bg,q_o2_a2,q_o2_eps_greedy,q_o2_max,q_o2_soft,q_o2_soft_kl,q_o2_targ,q_targ,replay_fill_ratio,replay_size,reward
1,0.9048,0.88958335,-0.0004785462,0.070322186,0.06984364,1.0,0.1,0.5224361473733409,0.1,31.688941955566406,0.33029956,0.0056259707,12000,1.0,0.058333334,12000.0,0.5855122,0.66134024,0.6,0.85837865,0.81178755,-0.7083966,-0.55923474,0.0013100201,-0.05810742,-0.51082563,6.114297,2000.0,-0.7083966,-0.17104238,-0.13387029,-0.12829413,-0.1820217,-0.18303938,-0.17104238,-0.7101841,0.012,240.0,-0.53575194
2,0.8884,0.903,-0.009839381,0.046832263,0.03699288,1.0,0.1,2.7692592247197627,0.0,46.83830809593201,0.3085466,0.0051857335,14000,1.0,0.05,14000.0,0.5853973,0.66122043,0.6,0.85812134,0.61709154,-1.093755,-0.81522757,0.013700131,-0.22421876,-0.51082563,6.1021895,4000.0,-1.093755,-0.49742097,-0.48125887,-0.47620758,-0.5239384,-0.52533376,-0.49742097,-1.0943229,0.014,280.0,-0.5359414
3,0.8824,0.8965,-0.020501602,0.047404777,0.026903175,1.0,0.24,0.40437296550799423,0.24,62.00168013572693,0.3090884,0.0051891366,16000,1.0,0.025,16000.0,0.5843583,0.66009563,0.6,0.8589558,0.5691975,-1.489349,-1.1688432,0.035493255,-0.25840428,-0.51082563,6.1443357,6000.0,-1.489349,-0.8173363,-0.81091684,-0.80395824,-0.86552644,-0.8695909,-0.8173363,-1.4898193,0.016,320.0,-0.5377207
4,0.8932,0.8855,-0.034665726,0.052441157,0.017775433,1.0,0.24,0.5057964001920761,0.08,77.16052579879761,0.30847082,0.005188192,18000,1.0,0.025,18000.0,0.58531564,0.6611229,0.6,0.8585071,0.55321145,-1.8522395,-1.5061146,0.057911087,-0.28518164,-0.51082563,6.122543,8000.0,-1.8522395,-1.1494644,-1.1471964,-1.1364896,-1.2243193,-1.2340907,-1.1494644,-1.8527268,0.018,360.0,-0.5360957
5,0.8836,0.887,-0.04269126,0.05411274,0.011421479,1.0,0.24,0.6937863379274366,0.02,92.1797513961792,0.30848733,0.0051885997,20000,1.0,0.075,20000.0,0.5848758,0.66066736,0.6,0.858616,0.54621613,-2.2078896,-1.8420799,0.06764318,-0.30896094,-0.51082563,6.1279335,10000.0,-2.2078896,-1.4991297,-1.4977431,-1.4835923,-1.5917505,-1.6085,-1.4991297,-2.208383,0.02,400.0,-0.5368164
6,0.8612,0.8755,-0.053554427,0.057988472,0.0044340426,1.0,0.24,1.1017993079585802,0.0,107.19420504570007,0.3085064,0.0051841205,22000,1.0,0.0,22000.0,0.5853921,0.66121423,0.6,0.8584331,0.5297297,-2.5419178,-2.1458092,0.08308266,-0.34089452,-0.51082563,6.119574,12000.0,-2.5419178,-1.8293873,-1.8329041,-1.8161513,-1.9400369,-1.9617496,-1.8293873,-2.54237,0.022,440.0,-0.5359512
7,0.8824,0.8915,-0.066029035,0.06341422,-0.0026148153,1.0,0.24,0.9642745427090315,0.06,122.03205251693726,0.3072452,0.0051829307,24000,1.0,0.1,24000.0,0.5849775,0.6607549,0.6,0.85832924,0.51733375,-2.8551521,-2.4294677,0.098587126,-0.37553126,-0.51082563,6.114254,14000.0,-2.8551521,-2.135902,-2.1448462,-2.1253033,-2.268446,-2.2944615,-2.135902,-2.8555782,0.024,480.0,-0.5366777
8,0.8904,0.8835,-0.0717514,0.06577492,-0.0059764874,1.0,0.24,1.7139697792158421,0.04,136.96088981628418,0.30897897,0.005186085,26000,1.0,0.05,26000.0,0.58403236,0.65971416,0.6,0.8585099,0.5323832,-3.1588335,-2.726626,0.108148985,-0.38888672,-0.51082563,6.1248455,16000.0,-3.1588335,-2.4366336,-2.4489205,-2.426394,-2.5892212,-2.6201549,-2.4366336,-3.1592164,0.026,520.0,-0.53832424
9,0.8772,0.8805,-0.0807466,0.071464114,-0.009282474,1.0,0.24,0.5399242612979914,0.04,151.56275248527527,0.30917734,0.005196334,28000,1.0,0.0,28000.0,0.5846185,0.66038585,0.6,0.85869235,0.5356436,-3.4274926,-2.9789858,0.1216062,-0.4106543,-0.51082563,6.1315722,18000.0,-3.4274926,-2.710002,-2.7256882,-2.6999493,-2.8840835,-2.9202466,-2.710002,-3.4278169,0.028,560.0,-0.5372617
10,0.8868,0.85,-0.08241326,0.07369944,-0.00871382,1.0,0.24,0.8451819353663665,0.02,166.77566003799438,0.3079992,0.005197048,30000,1.0,0.025,30000.0,0.5852482,0.6610525,0.6,0.8587197,0.5509174,-3.6774335,-3.2267294,0.13066116,-0.41269922,-0.51082563,6.133873,20000.0,-3.6774335,-2.9682553,-2.9861512,-2.9575803,-3.1607885,-3.2014117,-2.9682553,-3.6778793,0.03,600.0,-0.536207
