Epoch,Inner_Test_AgChangeRatio,Inner_Train_AgChangeRatio,Loss_hdm,Loss_her,Loss_q,TestAgChangeRatio,TestBestSuccessRate,TestFinalDist,TestSuccessRate,Time,TimePerSeqRollout,TimePerTrainIter,TotalTimeSteps,TrainAgChangeRatio,TrainSuccess,env_steps,exp_avg_reward,exp_reward_avg,hdm_gamma,hdm_gamma_auto,hdm_gamma_zero_point,hdm_q_o1,hdm_q_o2,hdm_q_to_minimize,hdm_weights,log_hdm_gamma,offset,opt_steps,q_bg,q_o2_a2,q_o2_eps_greedy,q_o2_max,q_o2_soft,q_o2_soft_kl,q_o2_targ,q_targ,replay_fill_ratio,replay_size,reward
1,0.0,0.014475,-2.7756896e-05,0.06341868,0.063390926,0.0,0.0,0.5475297,0.0,324.8534939289093,3.9899452,0.0069025005,120000,0.029166667,0.004166667,120000.0,0.6155878,0.6929993,0.3,0.980101,0.9535764,-2.7487051,-2.7098277,0.0007955316,-0.0013550781,-1.2039728,49.935246,20000.0,-2.7487051,-2.309514,-2.2714205,-2.2678008,-2.3034766,-2.3037374,-2.309514,-2.7490144,0.12,240.0,-0.48566797
2,0.0,0.0504,-0.00041081262,0.13072984,0.13031901,0.0,0.0,0.5475297,0.0,511.2396070957184,3.946259,0.006797353,140000,0.1,0.0,140000.0,0.61577016,0.693194,0.3,0.98010516,0.9439136,-5.8351464,-5.7721744,0.0030371444,-0.010082812,-1.2039728,49.92791,40000.0,-5.8351464,-5.455034,-5.4012337,-5.3945813,-5.459389,-5.460245,-5.455034,-5.8354607,0.14,280.0,-0.48535997
3,0.0,0.02385,-0.0010393589,0.21157427,0.21053493,0.0,0.0,0.5475297,0.0,700.4188871383667,3.9911208,0.006871871,160000,0.075,0.05,160000.0,0.61575645,0.69317156,0.3,0.980087,0.96657634,-8.588304,-8.523881,0.00811112,-0.018360352,-1.2039728,49.889744,60000.0,-8.588304,-8.261052,-8.182214,-8.172336,-8.267581,-8.26935,-8.261052,-8.588683,0.16,320.0,-0.4853953
4,0.0,0.11465,-0.0017265831,0.25816256,0.25643596,0.0,0.0,0.5475297,0.0,893.1689660549164,4.039251,0.0069237314,180000,0.225,0.1,180000.0,0.6157396,0.6931483,0.3,0.9800791,1.0110952,-10.805784,-10.751199,0.012178954,-0.022075,-1.2039728,49.864605,80000.0,-10.805784,-10.5249,-10.423439,-10.411086,-10.527447,-10.531023,-10.5249,-10.8061075,0.18,360.0,-0.48543224
5,0.0,0.02995,-0.0021741954,0.32337648,0.3212023,0.0,0.0,0.5475297,0.0,1086.0580780506134,4.05027,0.0069608768,200000,0.1,0.0,200000.0,0.6158656,0.693285,0.3,0.9800843,1.0033687,-12.7202425,-12.682559,0.013873038,-0.0251541,-1.2039728,49.875393,100000.0,-12.7202425,-12.479287,-12.360031,-12.345495,-12.479239,-12.485019,-12.479287,-12.720556,0.2,400.0,-0.48521602
6,0.0,0.06795,-0.002568058,0.39515716,0.39258912,0.0,0.0,0.5475297,0.0,1277.8890845775604,4.0536447,0.0069657816,220000,0.15,0.025,220000.0,0.6155958,0.6930024,0.3,0.98008144,1.0118566,-14.2491455,-14.229719,0.014411401,-0.027346876,-1.2039728,49.87436,120000.0,-14.2491455,-14.0382,-13.893959,-13.8773575,-14.027383,-14.035308,-14.0382,-14.249501,0.22,440.0,-0.4856631
7,0.0,0.09625,-0.002886356,0.47719616,0.47430977,0.0,0.0,0.5475297,0.0,1469.4023027420044,4.0540085,0.0069567496,240000,0.175,0.0,240000.0,0.61599666,0.69341755,0.3,0.98008007,1.0111754,-15.577635,-15.5732355,0.012994435,-0.028674023,-1.2039728,49.86273,140000.0,-15.577635,-15.39541,-15.217849,-15.1989155,-15.367275,-15.377646,-15.39541,-15.5779705,0.24,480.0,-0.48500624
8,0.0,0.03505,-0.0030213788,0.5906257,0.5876043,0.0,0.0,0.5475297,0.0,1660.7262783050537,4.0436945,0.0069396156,260000,0.075,0.0,260000.0,0.6157702,0.69319075,0.3,0.98009026,1.009585,-16.839907,-16.845165,0.013205989,-0.029299414,-1.2039728,49.891357,160000.0,-16.839907,-16.684713,-16.469921,-16.448757,-16.634018,-16.647024,-16.684713,-16.8403,0.26,520.0,-0.48536503
9,0.0,0.03935,-0.0031310928,0.6799123,0.6767812,0.0,0.0,0.5475297,0.0,1851.6763713359833,4.0337887,0.0069340663,280000,0.1,0.05,280000.0,0.6158019,0.6932135,0.3,0.98011106,1.0074391,-17.945648,-17.956718,0.013150074,-0.029736133,-1.2039728,49.947327,180000.0,-17.945648,-17.813095,-17.571016,-17.547838,-17.746687,-17.762833,-17.813095,-17.946033,0.28,560.0,-0.4853291
10,0.0,0.04435,-0.0030121028,0.77810246,0.77509034,0.0,0.0,0.5475297,0.0,2042.3442614078522,4.0082307,0.0068977308,300000,0.05,0.0,300000.0,0.6157811,0.6932037,0.3,0.9800845,1.0035138,-18.969591,-18.992199,0.011212351,-0.030504493,-1.2039728,49.880043,200000.0,-18.969591,-18.857925,-18.586847,-18.561678,-18.774117,-18.793238,-18.857925,-18.969963,0.3,600.0,-0.48534453
11,0.0,0.0148,-0.0028626996,0.8602881,0.8574254,0.0,0.0,0.5475297,0.0,2231.59694981575,3.999812,0.0068854666,320000,0.05,0.0,320000.0,0.615615,0.69302684,0.3,0.9800978,0.98920506,-19.91359,-19.9521,0.007302724,-0.03060332,-1.2039728,49.91558,220000.0,-19.91359,-19.820744,-19.521963,-19.494682,-19.721128,-19.74355,-19.820744,-19.91394,0.32,640.0,-0.4856244
12,0.0,0.0029,-0.0022729156,0.9743996,0.97212666,0.0,0.0,0.5445747,0.0,2423.472810268402,3.9854164,0.0068696057,340000,0.025,0.0,340000.0,0.61577433,0.6931946,0.3,0.9800805,0.9713517,-20.808668,-20.866673,-0.00065117644,-0.031450585,-1.2039728,49.87548,240000.0,-20.808668,-20.733534,-20.393793,-20.36408,-20.606054,-20.632505,-20.733534,-20.80903,0.34,680.0,-0.48535898
13,0.0,0.0313,-0.001820232,1.0786357,1.0768155,0.0,0.0,0.5475297,0.0,2612.839607477188,4.007513,0.0068972125,360000,0.125,0.05,360000.0,0.6153915,0.69279903,0.3,0.98013204,0.96708065,-21.67473,-21.742117,-0.007146865,-0.032084376,-1.2039728,49.999954,260000.0,-21.67473,-21.616728,-21.254242,-21.22291,-21.473726,-21.50348,-21.616728,-21.675028,0.36,720.0,-0.48598477
14,0.0,0.0685,-0.0010608358,1.1985664,1.1975055,0.0,0.0,0.54610246,0.0,2803.9985389709473,4.035103,0.0069546495,380000,0.1,0.025,380000.0,0.6156599,0.6930745,0.3,0.98009425,0.9698925,-22.431717,-22.505941,-0.01303391,-0.03317578,-1.2039728,49.91304,280000.0,-22.431717,-22.389973,-22.005169,-21.972065,-22.232584,-22.265867,-22.389973,-22.432058,0.38,760.0,-0.48554903
15,0.0,0.05085,-0.0001575669,1.3336225,1.3334647,0.0,0.0,0.5475297,0.0,2993.8129675388336,4.0048194,0.0069074254,400000,0.075,0.0,400000.0,0.6158332,0.69325197,0.3,0.9800827,0.9732999,-22.95995,-23.03771,-0.017536081,-0.03441504,-1.2039728,49.874138,300000.0,-22.95995,-22.928492,-22.53036,-22.495884,-22.763763,-22.799772,-22.928492,-22.960253,0.4,800.0,-0.48526835
16,0.0,0.0,0.0009375382,1.4996977,1.5006351,0.0,0.0,0.5475297,0.0,3182.961658716202,3.9955132,0.0069038616,420000,0.0,0.0,420000.0,0.6158286,0.69325066,0.3,0.98005056,0.99039793,-23.427212,-23.52124,-0.023643719,-0.036557227,-1.2039728,49.784294,320000.0,-23.427212,-23.405672,-22.975313,-22.938873,-23.218369,-23.257874,-23.405672,-23.427544,0.42,840.0,-0.48527032
