Epoch,Inner_Test_AgChangeRatio,Inner_Train_AgChangeRatio,Loss_hdm,Loss_her,Loss_q,TestAgChangeRatio,TestBestSuccessRate,TestFinalDist,TestSuccessRate,Time,TimePerSeqRollout,TimePerTrainIter,TotalTimeSteps,TrainAgChangeRatio,TrainSuccess,env_steps,exp_avg_reward,exp_reward_avg,hdm_gamma,hdm_gamma_auto,hdm_gamma_zero_point,hdm_q_o1,hdm_q_o2,hdm_q_to_minimize,hdm_weights,log_hdm_gamma,offset,opt_steps,q_bg,q_o2_a2,q_o2_eps_greedy,q_o2_max,q_o2_soft,q_o2_soft_kl,q_o2_targ,q_targ,replay_fill_ratio,replay_size,reward
1,0.0,0.039558332,-0.00035579962,0.05478092,0.05442512,0.0,0.0,0.21423304,0.0,321.20241832733154,3.2333763,0.0051555466,120000,0.079166666,0.004166667,120000.0,0.61581886,0.69323945,0.5,0.9800989,0.912224,-2.3965356,-2.3272214,0.002105251,-0.010637695,-0.69314724,49.903996,20000.0,-2.3965356,-1.9369029,-1.9166088,-1.9132625,-1.9462019,-1.9464628,-1.9369029,-2.3968565,0.12,240.0,-0.48528808
2,0.0,0.14595,-0.0019180524,0.10564619,0.10372814,0.0,0.0,0.2142248,0.0,483.9803714752197,3.2116714,0.005116372,140000,0.225,0.0,140000.0,0.61585945,0.6932781,0.5,0.98005867,0.9093752,-5.5661416,-5.475844,0.01204031,-0.035007227,-0.69314724,49.831203,40000.0,-5.5661416,-5.1390944,-5.100732,-5.09327,-5.165357,-5.1666265,-5.1390944,-5.5664926,0.14,280.0,-0.48522696
3,0.0,0.0769,-0.0041632345,0.19478592,0.1906227,0.0,0.0,0.21419689,0.0,646.7093999385834,3.2165532,0.0051221577,160000,0.1,0.0,160000.0,0.61580163,0.69322497,0.5,0.98009706,0.9447179,-8.185906,-8.11112,0.026997913,-0.04733242,-0.69314724,49.9139,60000.0,-8.185906,-7.8347335,-7.735442,-7.7224936,-7.8429413,-7.847447,-7.8347335,-8.186245,0.16,320.0,-0.48531094
4,0.0,0.0876,-0.005890337,0.39154506,0.38565475,0.0,0.0,0.21421793,0.0,808.4433884620667,3.1912389,0.0050817193,180000,0.1,0.0,180000.0,0.6154923,0.6929012,0.5,0.98010343,1.0612104,-10.541222,-10.600691,0.026648805,-0.054978907,-0.69314724,49.929413,80000.0,-10.541222,-10.248018,-10.022951,-10.001653,-10.183721,-10.1986685,-10.248018,-10.541581,0.18,360.0,-0.48582304
5,0.0,0.0224,-0.0004386797,0.7944622,0.7940235,0.0,0.0,0.21422064,0.0,971.0325474739075,3.219049,0.005124646,200000,0.025,0.0,200000.0,0.6157584,0.69317263,0.5,0.9800871,1.0860701,-13.847715,-14.1244545,-0.058841392,-0.059078906,-0.69314724,49.900944,100000.0,-13.847715,-13.629413,-13.017502,-12.973632,-13.267463,-13.331052,-13.629413,-13.848141,0.2,400.0,-0.48539376
6,0.0,0.0,0.013300174,1.2665049,1.2798051,0.0,0.0,0.21422003,0.0,1132.7775938510895,3.2004726,0.0050964076,220000,0.0,0.0,220000.0,0.61555487,0.6929692,0.5,0.980134,1.016884,-17.636314,-17.999298,-0.14704747,-0.07080586,-0.69314724,50.002987,120000.0,-17.636314,-17.491062,-16.557404,-16.491495,-16.869434,-16.984362,-17.491062,-17.636793,0.22,440.0,-0.48571563
7,0.0,0.0,0.022912536,1.6800234,1.7029359,0.0,0.0,0.21421608,0.0,1294.19376206398,3.1932316,0.005089225,240000,0.0,0.0,240000.0,0.6157926,0.6932091,0.5,0.98010254,0.9951707,-20.770243,-21.155388,-0.16531609,-0.07825371,-0.69314724,49.931286,140000.0,-20.770243,-20.6887,-19.651737,-19.576822,-19.998821,-20.130997,-20.6887,-20.770758,0.24,480.0,-0.48533612
8,0.0,0.0,0.03558184,2.2951605,2.3307421,0.0,0.0,0.21421513,0.0,1455.3551316261292,3.1895623,0.005081957,260000,0.0,0.0,260000.0,0.61580956,0.69323176,0.5,0.9800903,1.0115609,-23.234516,-23.659988,-0.19731884,-0.08965097,-0.69314724,49.887886,160000.0,-23.234516,-23.202225,-22.056227,-21.971397,-22.433968,-22.587929,-23.202225,-23.234962,0.26,520.0,-0.48530018
9,0.0,0.0,0.049749304,2.905126,2.9548755,0.0,0.0,0.21422113,0.0,1618.0653524398804,3.2156303,0.0051254584,280000,0.0,0.0,280000.0,0.61576897,0.6931861,0.5,0.98009366,1.0387146,-25.2317,-25.700657,-0.24112408,-0.10023711,-0.69314724,49.90925,180000.0,-25.2317,-25.240368,-23.965654,-23.869644,-24.371801,-24.55068,-25.240368,-25.232225,0.28,560.0,-0.48537245
10,0.0,0.02285,0.057954438,3.2764196,3.3343742,0.0,0.0,0.2142172,0.0,1780.3461961746216,3.2105942,0.0051175607,300000,0.025,0.0,300000.0,0.61588,0.6933046,0.5,0.9800799,1.0602998,-26.864555,-27.322306,-0.2531662,-0.1107082,-0.69314724,49.86778,200000.0,-26.864555,-26.907871,-25.61305,-25.513155,-26.028143,-26.213993,-26.907871,-26.865068,0.3,600.0,-0.48518497
11,0.0,0.0472,0.06297456,3.4536235,3.5165977,0.0,0.0,0.21422099,0.0,1941.6052310466766,3.1860414,0.0050778096,320000,0.05,0.0,320000.0,0.6158704,0.69329005,0.5,0.98009753,1.0723485,-27.790087,-28.216972,-0.25973746,-0.12077949,-0.69314724,49.9002,220000.0,-27.790087,-27.85175,-26.584469,-26.484018,-27.00146,-27.185812,-27.85175,-27.790678,0.32,640.0,-0.485208
12,0.0,0.0,0.06329109,3.4048727,3.4681637,0.0,0.0,0.21418975,0.0,2102.193356513977,3.178796,0.0050632227,340000,0.0,0.0,340000.0,0.6158507,0.6932715,0.5,0.9800903,1.0312011,-27.964952,-28.332962,-0.24052984,-0.12749238,-0.69314724,49.891388,240000.0,-27.964952,-28.029516,-26.85449,-26.757372,-27.267193,-27.441872,-28.029516,-27.96546,0.34,680.0,-0.4852373
13,0.0,0.0,0.059975084,3.2154117,3.2753868,0.0,0.0,0.21418136,0.0,2263.1387705802917,3.1893063,0.0050796135,360000,0.0,0.0,360000.0,0.61563283,0.6930541,0.5,0.98009855,1.0128819,-27.708319,-28.035444,-0.2306324,-0.13063887,-0.69314724,49.91051,260000.0,-27.708319,-27.765762,-26.648682,-26.553885,-27.05855,-27.226706,-27.765762,-27.708803,0.36,720.0,-0.48558125
14,0.0,0.04415,0.061368372,3.0510008,3.112369,0.0,0.0,0.21421975,0.0,2426.670599460602,3.2290025,0.005139362,380000,0.05,0.0,380000.0,0.6156184,0.6930346,0.5,0.9801016,1.4072332,-27.247581,-27.533562,-0.2170272,-0.13380645,-0.69314724,49.916683,280000.0,-27.247581,-27.294882,-26.219074,-26.125978,-26.6287,-26.793762,-27.294882,-27.247984,0.38,760.0,-0.48561212
