Epoch,Inner_Test_AgChangeRatio,Inner_Train_AgChangeRatio,Loss_hdm,Loss_her,Loss_q,TestAgChangeRatio,TestBestSuccessRate,TestFinalDist,TestSuccessRate,Time,TimePerSeqRollout,TimePerTrainIter,TotalTimeSteps,TrainAgChangeRatio,TrainSuccess,env_steps,exp_avg_reward,exp_reward_avg,hdm_gamma,hdm_gamma_auto,hdm_gamma_zero_point,hdm_q_o1,hdm_q_o2,hdm_q_to_minimize,hdm_weights,log_hdm_gamma,offset,opt_steps,q_bg,q_o2_a2,q_o2_eps_greedy,q_o2_max,q_o2_soft,q_o2_soft_kl,q_o2_targ,q_targ,replay_fill_ratio,replay_size,reward
1,0.59144,0.93934166,-0.00023551412,0.0602036,0.059968084,0.62,0.0,0.409513384103775,0.0,365.56343173980713,4.157586,0.0069713797,120000,1.0,0.0,120000.0,0.61585236,0.6932762,0.5,0.9801035,0.92576975,-2.7215805,-2.6659935,0.0016790028,-0.009838867,-0.69314724,49.92859,20000.0,-2.7215805,-2.2817345,-2.2450528,-2.2411494,-2.2796416,-2.279912,-2.2817345,-2.7219028,0.12,240.0,-0.48522988
2,0.98872,0.98595,-0.0020614304,0.13865528,0.13659383,1.0,0.0,0.10914136543869972,0.0,565.7576992511749,4.128356,0.0069161714,140000,1.0,0.05,140000.0,0.61583096,0.6932471,0.5,0.98008496,0.9454174,-5.740709,-5.683244,0.012941649,-0.03455762,-0.69314724,49.879642,40000.0,-5.740709,-5.3438783,-5.2725806,-5.2646646,-5.341224,-5.342524,-5.3438783,-5.741085,0.14,280.0,-0.48527598
3,0.98904,0.98295,-0.004475168,0.24119797,0.2367228,1.0,0.14,0.34388979502022265,0.14,765.8963055610657,4.1170397,0.0068946006,160000,1.0,0.05,160000.0,0.61578894,0.69320667,0.5,0.98011917,1.0166354,-8.424396,-8.411273,0.025976725,-0.044718944,-0.69314724,49.972977,60000.0,-8.424396,-8.088494,-7.955022,-7.941574,-8.0664215,-8.071217,-8.088494,-8.424775,0.16,320.0,-0.48534003
4,0.54616,0.98095,-0.0054877885,0.42436963,0.41888183,0.52,0.14,0.289423014819622,0.0,967.4784271717072,4.1570992,0.006958746,180000,1.0,0.125,180000.0,0.6158117,0.6932303,0.5,0.98011506,1.1611389,-11.05741,-11.21371,0.008481404,-0.048294142,-0.69314724,49.95361,80000.0,-11.05741,-10.7839985,-10.465789,-10.439198,-10.660582,-10.681953,-10.7839985,-11.057775,0.18,360.0,-0.48530254
5,0.98676,0.97775,0.003293596,0.87192374,0.8752174,1.0,0.14,0.24119877234101295,0.14,1169.2465500831604,4.151261,0.006950264,200000,1.0,0.175,200000.0,0.6158266,0.69324553,0.5,0.9800924,1.1675549,-14.613651,-14.966346,-0.097640894,-0.05688379,-0.69314724,49.900677,100000.0,-14.613651,-14.414138,-13.639386,-13.581035,-13.957719,-14.048434,-14.414138,-14.614053,0.2,400.0,-0.48527852
6,0.98496,0.9808,0.020296473,1.5006726,1.5209689,1.0,0.14,0.28333411626517774,0.0,1371.7012481689453,4.1654673,0.0069763456,220000,1.0,0.0,220000.0,0.6159122,0.6933367,0.5,0.9800724,1.0150015,-18.50111,-18.926506,-0.19070113,-0.070560545,-0.69314724,49.841545,120000.0,-18.50111,-18.377115,-17.294949,-17.216331,-17.65237,-17.795076,-18.377115,-18.501413,0.22,440.0,-0.48513418
7,0.96836,0.98505,0.038270928,2.2624464,2.3007174,1.0,0.14,0.4542289400100708,0.0,1573.590817451477,4.1550646,0.0069561596,240000,1.0,0.0,240000.0,0.6157997,0.6932203,0.5,0.9800799,0.91255987,-21.973629,-22.439718,-0.26062617,-0.088187695,-0.69314724,49.872593,140000.0,-21.973629,-21.90659,-20.640713,-20.547058,-21.02485,-21.202091,-21.90659,-21.973919,0.24,480.0,-0.48531836
8,0.98916,0.98425,0.054750707,3.043752,3.0985026,1.0,0.14,0.41550449684262275,0.04,1775.3551063537598,4.1440463,0.0069348603,260000,1.0,0.0,260000.0,0.6157841,0.69319755,0.5,0.98009104,0.8530167,-24.95301,-25.455263,-0.32470754,-0.11281113,-0.69314724,49.891895,160000.0,-24.95301,-24.92584,-23.508118,-23.400251,-23.92241,-24.129591,-24.92584,-24.953289,0.26,520.0,-0.4853543
9,0.9882,0.9859,0.06905698,3.750148,3.8192046,1.0,0.14,0.5745071297883988,0.0,1977.8396027088165,4.166552,0.006992465,280000,1.0,0.0,280000.0,0.6157881,0.6932043,0.5,0.98007274,0.82663494,-27.180735,-27.6917,-0.3811494,-0.14214648,-0.69314724,49.841995,180000.0,-27.180735,-27.179968,-25.62936,-25.507921,-26.076305,-26.31106,-27.179968,-27.181,0.28,560.0,-0.48534355
10,0.9892,0.98665,0.07423338,4.086809,4.161043,1.0,0.14,0.6317685735225678,0.0,2178.3967905044556,4.1350183,0.0069337906,300000,1.0,0.0,300000.0,0.6155941,0.69300526,0.5,0.98008984,0.82065976,-28.595198,-29.05452,-0.38100058,-0.16738476,-0.69314724,49.89425,200000.0,-28.595198,-28.612541,-27.069775,-26.942675,-27.54293,-27.788506,-28.612541,-28.595535,0.3,600.0,-0.4856586
11,0.96972,0.98615,0.07272841,4.159277,4.2320056,0.98,0.14,0.43135381534695627,0.0,2379.630999803543,4.146108,0.006956121,320000,1.0,0.0,320000.0,0.61558944,0.6930001,0.5,0.98011297,0.8291705,-29.19402,-29.592966,-0.3525062,-0.1822164,-0.69314724,49.950092,220000.0,-29.19402,-29.221003,-27.753428,-27.626938,-28.239084,-28.482903,-29.221003,-29.194372,0.32,640.0,-0.4856668
