Epoch,Inner_Test_AgChangeRatio,Inner_Train_AgChangeRatio,Loss_hdm,Loss_her,Loss_q,TestAgChangeRatio,TestBestSuccessRate,TestFinalDist,TestSuccessRate,Time,TimePerSeqRollout,TimePerTrainIter,TotalTimeSteps,TrainAgChangeRatio,TrainSuccess,env_steps,exp_avg_reward,exp_reward_avg,hdm_gamma,hdm_gamma_auto,hdm_gamma_zero_point,hdm_q_o1,hdm_q_o2,hdm_q_to_minimize,hdm_weights,log_hdm_gamma,offset,opt_steps,q_bg,q_o2_a2,q_o2_eps_greedy,q_o2_max,q_o2_soft,q_o2_soft_kl,q_o2_targ,q_targ,replay_fill_ratio,replay_size,reward
1,0.96306664,0.9798889,0.00041852688,0.045424916,0.045843445,0.96,0.06,3.249060958447202,0.06,312.0816538333893,4.3938017,0.006682947,144000,0.975,0.020833334,144000.0,0.4398035,0.48057738,0.85000014,0.9916747,1.0595348,-4.9047313,-4.8955054,-0.0012839988,-0.07198698,-0.16251895,119.692024,24000.0,-4.9047313,-4.166753,-4.1159825,-4.110277,-4.165075,-4.1662025,-4.166753,-4.905282,0.14405762,240.0,-0.8217145
2,0.9324,0.98825,-0.00062935124,0.12253272,0.12190336,0.94,0.06,3.8897883784184852,0.04,503.33945512771606,4.3314943,0.006589609,168000,0.975,0.125,168000.0,0.43967745,0.48039743,0.85000014,0.9916857,0.34707642,-12.409669,-12.458164,0.0025059604,-0.15624902,-0.16251895,119.84406,48000.0,-12.409669,-11.8246975,-11.691469,-11.678353,-11.794896,-11.802146,-11.8246975,-12.410203,0.16806723,280.0,-0.8219992
3,0.9975,0.97654164,0.00086363166,0.27301034,0.27387396,1.0,0.06,4.193106686633094,0.0,692.9610171318054,4.2974133,0.006537867,192000,0.975,0.1,192000.0,0.4395525,0.4802184,0.85000014,0.9916857,0.003785109,-19.421835,-19.592234,-0.015926478,-0.19645004,-0.16251895,119.83904,72000.0,-19.421835,-18.979918,-18.614698,-18.580622,-18.81796,-18.86696,-18.979918,-19.422602,0.19207683,320.0,-0.8222824
4,0.9964,0.989625,0.005294048,0.37989473,0.38518876,1.0,0.06,4.127577888703687,0.02,882.5759325027466,4.2915764,0.006530269,216000,0.975,0.175,216000.0,0.43959448,0.4802785,0.85000014,0.99168324,9.133789e-06,-26.010572,-26.226513,-0.03707466,-0.20675,-0.16251895,119.82062,96000.0,-26.010572,-25.703348,-25.241896,-25.197308,-25.464914,-25.544506,-25.703348,-26.011469,0.21608643,360.0,-0.82218736
5,0.9763333,0.968375,0.0077022025,0.38853067,0.3962329,0.98,0.06,3.6551001008793147,0.0,1070.89284658432,4.264129,0.006481569,240000,0.95,0.0,240000.0,0.4396189,0.4803147,0.85000014,0.9916818,1.2372804e-07,-31.053093,-31.214916,-0.028794838,-0.23244889,-0.16251895,119.7863,120000.0,-31.053093,-30.848688,-30.445208,-30.403244,-30.670628,-30.73905,-30.848688,-31.053844,0.24009603,400.0,-0.82213
6,0.94446665,0.99475,0.008145617,0.39916041,0.407306,0.94,0.06,3.2006295934683955,0.04,1258.7884335517883,4.2505836,0.00646201,264000,1.0,0.025,264000.0,0.4396554,0.4803684,0.85000014,0.9916789,8.975389e-09,-34.632896,-34.766964,-0.02227585,-0.25081298,-0.16251895,119.743095,144000.0,-34.632896,-34.501514,-34.137115,-34.097214,-34.36468,-34.424637,-34.501514,-34.633533,0.26410565,440.0,-0.8220451
7,0.9950333,0.98941666,0.005927262,0.40374434,0.40967163,1.0,0.06,3.1584013318665045,0.04,1445.6618897914886,4.2305036,0.0064431736,288000,0.975,0.05,288000.0,0.43971524,0.48045248,0.85000014,0.9916788,1.5271728e-09,-37.216972,-37.35093,-0.011598246,-0.24702214,-0.16251895,119.742645,168000.0,-37.216972,-37.138405,-36.791916,-36.753742,-37.018906,-37.072613,-37.138405,-37.217552,0.28811523,480.0,-0.8219121
8,0.9785333,0.9809167,0.0036313275,0.4268555,0.43048683,1.0,0.06,3.5480714876123374,0.04,1634.4756844043732,4.2764807,0.006506113,312000,0.975,0.05,312000.0,0.43963543,0.4803401,0.85000014,0.9916848,3.7029674e-10,-39.41155,-39.574642,-0.0039344127,-0.23022151,-0.16251895,119.82498,192000.0,-39.41155,-39.377556,-39.009407,-38.970478,-39.23547,-39.29214,-39.377556,-39.412094,0.31212485,520.0,-0.82208985
9,0.9902,0.953375,0.0033217457,0.4658966,0.46921834,1.0,0.06,3.104652286145008,0.06,1823.6605761051178,4.2845774,0.0065145264,336000,0.95,0.05,336000.0,0.43974996,0.48050195,0.85000014,0.9916762,1.2975403e-10,-41.30084,-41.47591,-0.0037077735,-0.2283392,-0.16251895,119.70529,216000.0,-41.30084,-41.305607,-40.920753,-40.879448,-41.149055,-41.213497,-41.305607,-41.301327,0.33613446,560.0,-0.82183385
10,0.9900333,0.98616666,0.0046658763,0.51882887,0.5234947,1.0,0.06,3.746716466043868,0.04,2010.1835379600525,4.2230787,0.0064225444,360000,1.0,0.025,360000.0,0.43965837,0.48037043,0.85000014,0.9916829,1.3284784e-10,-42.793102,-42.97248,-0.013150266,-0.23581901,-0.16251895,119.79862,240000.0,-42.793102,-42.828094,-42.407887,-42.36236,-42.645603,-42.721584,-42.828094,-42.793575,0.36014405,600.0,-0.8220418
